"","state","black_05_inc","err_black_05_inc","asian_05_inc","err_asian_05_inc","latino_05_inc","err_latino_05_inc","white_05_inc","err_white_05_inc","black_06_inc","err_black_06_inc","asian_06_inc","err_asian_06_inc","latino_06_inc","err_latino_06_inc","white_06_inc","err_white_06_inc","black_07_inc","err_black_07_inc","asian_07_inc","err_asian_07_inc","latino_07_inc","err_latino_07_inc","white_07_inc","err_white_07_inc","black_08_inc","err_black_08_inc","asian_08_inc","err_asian_08_inc","latino_08_inc","err_latino_08_inc","white_08_inc","err_white_08_inc","black_09_inc","err_black_09_inc","asian_09_inc","err_asian_09_inc","latino_09_inc","err_latino_09_inc","white_09_inc","err_white_09_inc","black_10_inc","err_black_10_inc","asian_10_inc","err_asian_10_inc","latino_10_inc","err_latino_10_inc","white_10_inc","err_white_10_inc","black_11_inc","err_black_11_inc","asian_11_inc","err_asian_11_inc","latino_11_inc","err_latino_11_inc","white_11_inc","err_white_11_inc","black_12_inc","err_black_12_inc","asian_12_inc","err_asian_12_inc","latino_12_inc","err_latino_12_inc","white_12_inc","err_white_12_inc","black_13_inc","err_black_13_inc","asian_13_inc","err_asian_13_inc","latino_13_inc","err_latino_13_inc","white_13_inc","err_white_13_inc","black_14_inc","err_black_14_inc","asian_14_inc","err_asian_14_inc","latino_14_inc","err_latino_14_inc","white_14_inc","err_white_14_inc","black_15_inc","err_black_15_inc","asian_15_inc","err_asian_15_inc","latino_15_inc","err_latino_15_inc","white_15_inc","err_white_15_inc","black_16_inc","err_black_16_inc","asian_16_inc","err_asian_16_inc","latino_16_inc","err_latino_16_inc","white_16_inc","err_white_16_inc"
"1","Alabama",23427,824,49372,14898,42700,724,35642,4579,25203,831,46945,5144,44990,687,31930,2914,25739,479,51203,4839,46243,369,35453,1914,27160,446,52148,4269,49029,471,35963,1767,26734,303,51563,3657,47745,318,35484,1454,27621,369,51845,3406,48532,318,35234,1417,28156,349,54756,3603,49637,346,35735,1681,28316,413,53768,3945,50013,354,35382,1383,28750,493,57096,5297,49982,304,35781,1409,29055,384,56276,4722,50353,293,34763,1337,29180,391,55775,4660,50760,276,33984,1674,30180,312,59063,4031,51684,266,35669,1664
"2","Alaska",37850,12455,51733,9502,62239,2206,51617,4208,40499,6263,57905,7480,65765,1606,55322,12879,50440,7585,58349,3709,68178,1309,54857,3494,53464,9271,62376,4506,73272,1432,55815,4459,53512,4979,63834,2454,71223,1084,55848,2349,55063,4772,64752,3481,73279,885,57006,2461,59119,4610,64794,3580,75453,996,60274,4031,54861,4520,64109,3521,76745,902,61832,3972,57260,4779,66374,3591,77265,732,63272,6883,55897,5839,63551,3242,79052,986,62038,4533,51944,4341,64466,4026,80056,915,60540,3874,53800,4163,67362,4488,82574,966,61954,5620
"3","Arizona",33528,3332,54431,2615,49541,848,34743,1149,41198,2055,54754,5833,52244,515,37288,875,38475,1204,58275,2405,53693,340,38175,581,41993,1345,62574,2073,56271,410,40239,659,40240,1365,63703,2101,55608,278,39133,431,40945,1218,63140,2077,55627,308,39076,422,40540,1249,65194,2251,56120,290,39258,462,41221,1375,65904,2292,55550,332,38730,457,39543,1430,65288,2705,55162,357,38327,400,39266,1290,65658,1974,55363,287,38567,420,39483,1249,66274,1727,55800,326,39020,528,39991,978,68360,1833,57003,330,40523,416
"4","Arkansas",20942,1186,49658,9980,37935,775,30792,2962,23265,1613,45438,7981,40177,567,30704,2255,24056,624,48781,6555,41037,346,31494,1784,25176,779,47610,4814,42610,475,32563,1609,24420,503,45795,3510,42074,302,32448,1118,25509,484,45556,2927,42721,364,32712,1041,25681,419,48249,4034,43702,342,33696,1349,26190,372,49905,2833,44181,272,33542,1061,26255,506,53518,2757,44482,337,33169,982,26733,479,55922,3776,45070,337,34173,1174,26731,554,59872,5412,45346,308,34589,1308,28004,750,62860,3136,46411,318,35834,1064
"5","California",39317,1127,62145,795,62457,392,41326,353,40709,795,70067,855,65310,333,43805,442,41748,585,70867,443,67229,225,45068,250,43366,597,74667,594,70628,241,47185,295,43397,464,73570,422,69828,218,46535,215,44127,434,74527,450,70414,210,47180,217,44471,484,75968,493,71494,233,47618,236,44609,404,76337,469,71357,243,47332,188,43969,421,76806,372,71226,256,47082,199,43476,481,77932,570,72061,239,47206,197,43087,578,79260,487,72741,247,47393,214,44192,499,81899,366,75097,248,49134,243
"6","Colorado",35293,4953,55773,6649,55184,799,34684,1425,34563,2015,55053,6604,57903,846,35941,1110,38658,2154,57814,4244,59782,442,36819,696,38899,1931,60309,3751,62618,391,37725,823,37537,1283,60996,1924,61771,290,38166,499,38530,1428,57630,2854,62287,349,38450,597,39797,1556,61939,2372,63492,322,40025,504,39115,1680,64197,1802,63922,354,40732,529,40298,1214,65155,2075,63967,369,41147,578,41980,1275,64854,2630,65015,396,41982,497,42150,1154,66237,1949,66208,314,42774,688,44366,1067,67601,2261,68501,375,44802,707
"7","Connecticut",38059,3530,71436,7668,67205,1120,37820,2251,41648,2718,80739,5794,70069,810,36217,1590,42688,1697,78587,4767,72040,522,39513,1382,45082,1395,82338,4192,75219,601,40483,1505,43353,1328,82212,2608,74645,425,39868,980,43587,1102,80893,2096,75155,392,39536,941,43886,1424,82022,2118,76889,416,40257,908,42770,1147,85729,2220,77615,547,39534,1067,42208,1161,86929,2236,77900,499,39852,1089,42838,1150,86676,2302,78695,563,39375,1145,42917,1307,89755,3458,79565,590,40059,1063,43732,999,91606,2097,81354,514,42068,780
"8","Delaware",40553,2527,76149,7148,56287,1694,43547,5550,41640,2361,67338,16607,56739,1588,39199,6012,42190,1553,78555,4703,59949,1038,41366,4391,43081,1632,82782,4685,62292,962,42292,3915,43552,1093,82836,4889,62352,784,41912,2894,43179,963,86426,3982,62628,844,41530,2884,43680,1159,88818,5484,64892,687,42020,3041,44175,1449,90185,4090,65226,848,45077,2621,45945,1300,88152,6497,64959,819,43919,2078,46149,1065,87453,9266,65660,628,46295,2531,47242,1479,88009,8625,65434,730,45698,2604,47450,1560,87520,6403,66238,740,44835,2981
"9","District of Columbia",32360,1551,53605,7266,79336,4322,44053,8424,34484,2263,67137,11354,91631,4140,43547,8357,35112,1249,63867,9177,91594,3013,44699,3729,37763,1575,71317,6649,102702,2180,44650,4836,37304,846,71768,4286,102343,1861,46998,2880,38218,1195,72628,3171,100996,1544,51569,3594,39421,1187,76969,4592,105497,2222,53754,4209,40300,876,81316,5514,108629,1734,55847,3420,39699,1010,80065,4842,111420,1722,57068,3616,40829,853,82213,6281,115109,2351,61210,4028,40677,804,83064,5825,119934,2214,61087,3335,40560,924,91453,4719,122593,2242,60848,4911
"10","Florida",30678,557,50815,3478,46804,368,36958,646,32554,671,56650,2937,49585,375,40510,522,34011,388,56190,1800,50887,193,41137,366,35721,419,59000,1967,52949,159,42595,395,34650,284,57269,1159,51808,140,41646,300,35197,290,57818,1378,52121,190,41758,323,35334,298,59435,1300,52433,181,41498,255,34690,340,59979,1236,52212,198,40860,329,34282,314,60269,927,51783,171,40629,289,34467,264,61248,956,52147,192,40712,304,34664,343,61880,889,52510,228,40851,255,35722,318,63391,1003,53904,208,41909,291
"11","Georgia",32443,789,60391,3072,52427,577,36883,1251,33563,678,60337,2405,54700,627,37692,1612,34951,432,61937,1531,56274,391,39003,850,36983,403,63728,1664,58774,400,39628,736,36060,268,62545,1421,57370,277,38958,628,36364,347,62460,1260,57583,322,38287,637,36862,290,61986,1492,58146,367,37371,693,36618,354,62709,1294,58045,282,37132,812,36055,260,63460,1414,57654,339,36926,710,36356,272,64364,1118,57820,316,38032,616,36655,299,65611,1571,57966,345,38784,675,37887,397,69946,1764,59595,321,41157,558
"12","Hawaii",49106,15769,60282,2093,61500,2205,52201,6835,49486,5660,64849,2439,61500,2488,55909,6929,52244,4136,65327,1127,64702,1554,55036,2562,61029,6165,68542,1515,68470,1944,58521,3732,56227,5596,67629,1025,66650,1195,55981,2336,57060,5715,69610,1012,68617,1648,54050,1858,57832,4821,70573,1296,69171,1368,54879,2871,57898,4729,71638,1350,69363,1327,54110,2773,59336,3430,72696,1208,68713,1316,52862,2751,61829,3132,73765,1047,68592,1172,55180,3151,62115,2665,74800,1023,69834,1376,56637,2238,66009,5985,76774,1047,72756,1504,58504,2742
"13","Idaho",28027,11727,53899,6911,42934,984,28812,2145,32074,7167,58956,10725,44323,993,32085,2539,36367,5601,51797,10241,46414,594,33096,1466,39161,6688,51046,8159,48731,639,35957,1984,37672,6298,47588,7566,47736,392,34364,1041,30804,6474,42837,4521,48049,408,35141,1097,33411,5843,41534,3353,48607,499,35271,1294,34864,3324,45830,6479,48625,471,35284,1257,33935,5737,50220,5949,48387,452,36181,1357,33391,7758,53582,5472,48929,476,37346,1350,37928,7970,55525,5656,49061,487,38085,1342,41690,7819,53443,4727,50608,428,39540,1294
